主订单编号,支付方式,选购商品,商品ID,商品数量,商品金额,订单提交时间,支付完成时间,订单完成时间,订单状态,取消原因,售后状态,订单类型,订单应付金额,优惠总金额,平台优惠
"	6925255259844541708","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:19:46","	2026-03-31 10:19:58",,已发货,,-,普通订单,14.99,0.00,-
"	6951698196322195219","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:19:34",,,已关闭,用户超时未支付自动取消,-,普通订单,14.99,0.00,-
"	6925243579774827521","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:19:21","	2026-03-31 10:19:37",,已发货,,-,普通订单,12.99,0.00,-
"	6925239187277119270","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:18:51",,,已关闭,用户超时未支付自动取消,-,普通订单,12.99,0.00,-
"	6925258536712895530","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:18:30","	2026-03-31 10:18:44",,已发货,,-,普通订单,14.99,0.00,-
"	6951720265555973885","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:16:53","	2026-03-31 10:17:02",,已发货,,-,普通订单,14.99,0.00,-
"	6951700042342471366","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:16:51","	2026-03-31 10:17:04",,已发货,,-,普通订单,14.99,0.00,-
"	6925250379887901871","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:16:45","	2026-03-31 10:16:55",,已发货,,-,普通订单,14.99,0.00,-
"	6925250289411063623","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3811269702848741512",1,12.99,"	2026-03-31 10:16:12","	2026-03-31 10:16:13",,已发货,,-,普通订单,12.99,0.00,-
"	6925256346739899666","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3811269702848741512",1,14.99,"	2026-03-31 10:16:06","	2026-03-31 10:16:07",,已发货,,-,普通订单,14.99,0.00,-
