结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品名称,商品数量,达人ID,达人名称,业务类型,订单类型,订单总价,商品总价,运费,店铺券,政府补贴商家垫资,结算前退款金额,平台补贴,其他平台补贴,政府补贴平台垫资,达人补贴,抖音支付补贴,抖音月付营销补贴,银行补贴,以旧换新抵扣,平台补贴运费,用户实付,收入合计,平台服务费,达人佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,其他分成说明,支出合计,是否免佣,免佣金额,商户主体名称,备注
" "," "," ",收入+支出," "," "," "," "," "," "," "," "," "," "," ",商品总价+运费," "," ",包括商家发的优惠券、商品直降金额以及与平台混资补贴商家承担的金额,以旧换新商家先行出资，结算后商家拿着对应金额发票与政府进行金额结算。,退给用户的货款+运费+退补贴," ",其他平台补贴包括话费充值平台优惠金额，此部分补贴金额商家无需给平台开票,以旧换新政府出资补商家，跟随货款一同结算给商家，包括以旧换新政府补贴券，商家无需开票。," "," "," "," "," "," "," ",用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴+银行补贴+以旧换新抵扣+平台补贴运费+政府补贴平台垫资+其他平台补贴,"'-(用户实付+平台补贴+达人补贴+平台补贴运费+政府补贴平台垫资+其他平台补贴)*费率
平台按照商品类目费率收取商家的费用","'-(用户实付-运费+平台补贴+达人补贴+平台补贴运费+抖音支付补贴+抖音月付补贴+政府补贴平台垫资+其他平台补贴)*费率
商家支出给达人的佣金",商家使用了服务商服务（例如商家招募与培训、内容制作、抖店开设与运营、达人运营等一站式服务），需要支付给对应服务商的佣金,仅在学浪订单场景下存在的分成，如果订单非学浪订单则不会有这个费用,商家支出给团长的佣金,推广者在抖音APP外进行商品推广，用户因推广者推广进入抖音APP进入小店平台并完成商品购买。商家商品通过精选联盟平台的推广者成交的，每笔订单商家需要向推广者支付一定比例的推广费,除“佣金、渠道分成、招商服务费、站外推广费”等账单中已分列展示之外的分成项目," ",平台服务费+达人佣金+服务商佣金+渠道分成+招商服务费+站外推广费+其他分成,订单是否命中了平台各类平台服务费减免活动，例如商品卡佣金减免等活动,订单结算时按照平台活动规则减免掉的金额，免佣金额不会结算或打款给商家," "," "
2026-03-04 08:25:20,'6950913491489330383,'6950913491489330383,9.49,聚合账户,已结算,否,2026-02-26 07:43:35,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 08:25:44,'6924504006402867140,'6924504006402867140,9.49,聚合账户,已结算,否,2026-02-26 08:23:26,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,4,0,0,0,0,0,0,0,0,5.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 08:32:37,'6950895592641795618,'6950895592641795618,9.49,聚合账户,已结算,否,2026-02-26 08:51:55,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 08:36:37,'6924503980255379367,'6924503980255379367,9.49,聚合账户,已结算,否,2026-02-26 07:04:33,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,4.31,0,0,0,0,0,0,0,0,5.68,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 08:59:42,'6950930098451059885,'6950930098451059885,14.24,聚合账户,已结算,否,2026-02-27 08:23:57,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,14.99,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,14.99,-0.75,0,0,0,0,0,0,,-0.75,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 08:59:42,'6924501845186477280,'6924501845186477280,9.49,聚合账户,已结算,否,2026-02-26 08:38:36,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 08:59:45,'6950886796191274402,'6950886796191274402,9.49,聚合账户,已结算,否,2026-02-26 09:07:00,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 09:04:31,'6950913536648419275,'6950913536648419275,9.49,聚合账户,已结算,否,2026-02-26 08:23:26,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 09:45:45,'6950906999484126548,'6950906999484126548,9.49,聚合账户,已结算,否,2026-02-26 08:31:14,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 09:49:36,'6950915044022818550,'6950915044022818550,14.24,聚合账户,已结算,否,2026-02-27 08:25:36,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,14.99,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,14.99,-0.75,0,0,0,0,0,0,,-0.75,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-04 11:55:41,'6924520783708323371,'6924520783708323371,9.49,聚合账户,已结算,否,2026-02-27 08:04:49,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 04:12:20,'6924263603710492609,'6924263603710492609,9.79,聚合账户,已结算,否,2026-02-08 06:31:24,'3796351544073519123,电动牵绳小马声光跳萌宠益智早教启蒙科学实验【自备2节5号电池,1,'2802025515201240,欣宝丫头玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.2,0,0,0,0,0,0,,-0.2,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 04:13:02,'6950893503275799926,'6950893503275799926,9.49,聚合账户,已结算,否,2026-02-26 09:09:58,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,4,0,0,0,0,0,0,0,0,5.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 04:13:02,'6950917465875748367,'6950917465875748367,9.49,聚合账户,已结算,否,2026-02-27 07:29:12,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 04:24:18,'6950895550273098755,'6950895550273098755,9.49,聚合账户,已结算,否,2026-02-26 07:48:51,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 04:24:18,'6950927977944454793,'6950927977944454793,9.49,聚合账户,已结算,否,2026-02-27 08:01:51,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 04:34:52,'6950914986691269933,'6950914986691269933,9.49,聚合账户,已结算,否,2026-02-27 07:02:55,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 05:04:46,'6950934567700599903,'6950934567700599903,9.49,聚合账户,已结算,否,2026-02-27 08:12:19,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 07:14:00,'6924523071509396764,'6924523071509396764,9.49,聚合账户,已结算,否,2026-02-27 06:55:10,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 07:14:00,'6924499634467994847,'6924499634467994847,9.49,聚合账户,已结算,否,2026-02-26 07:51:44,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 07:14:00,'6924504101283396925,'6924504101283396925,9.49,聚合账户,已结算,否,2026-02-26 09:14:53,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 07:17:40,'6924257022330174907,'6924257022330174907,9.79,聚合账户,已结算,否,2026-02-08 07:14:51,'3796351544073519123,电动牵绳小马声光跳萌宠益智早教启蒙科学实验【自备2节5号电池,1,'2802025515201240,欣宝丫头玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.2,0,0,0,0,0,0,,-0.2,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 07:17:40,'6924523146282565147,'6924523146282565147,9.49,聚合账户,已结算,否,2026-02-27 08:14:36,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
2026-03-05 08:19:14,'6924506434110455749,'6924506434110455749,9.49,聚合账户,已结算,否,2026-02-26 08:41:07,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,9.99,9.99,0,0,0,0,4,0,0,0,0,0,0,0,0,5.99,9.99,-0.5,0,0,0,0,0,0,,-0.5,,0,广州斌立科技有限公司,商品类目: 玩具/童车/益智/积木/模型
