主订单编号,支付方式,选购商品,商品ID,商品数量,商品金额,订单提交时间,支付完成时间,订单状态,取消原因,售后状态,订单类型,订单应付金额,优惠总金额,平台优惠,商家优惠
"	6926227350044901003","	支付宝",七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-30包浓缩液【袋子颜色随机】,"	3795785626331251287",1,8.99,"	2026-05-11 12:27:31","	2026-05-11 12:27:36",已完成,,-,普通订单,8.99,0.00,-,-
"	6926085842194890571","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-05-05 12:57:55","	2026-05-05 12:58:25",已完成,,-,普通订单,14.99,0.00,-,-
"	6952525054333884010","	支付宝",七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-10包浓缩液【袋子颜色随机】,"	3795785626331251287",1,3.99,"	2026-05-02 14:57:01","	2026-05-02 14:57:06",已完成,,-,普通订单,3.99,0.00,-,-
"	6925895832412979002","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-26 17:43:19","	2026-04-26 17:43:32",已完成,,-,普通订单,14.99,0.00,-,-
"	6925891860988133168","	抖音月付",新款宇航员手持泡泡枪网红全自动泡泡机公园摆地摊吹泡泡机-紫宇航员【普通电池+10浓缩液】,"	3808932218294895010",1,13.99,"	2026-04-26 15:55:19",,已关闭,用户超时未支付自动取消,-,普通订单,13.99,0.00,-,-
"	6952369695715955744","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-25 21:49:57","	2026-04-25 21:49:58",已完成,,-,普通订单,11.99,3.00,平台三单挑战券-3.00,-
"	6925844836494901032","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-24 21:48:52","	2026-04-24 21:49:02",已完成,,-,普通订单,11.99,3.00,平台新人券-3.00,-
"	6925844836494901032","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-24 21:48:52","	2026-04-24 21:49:02",已完成,,-,普通订单,11.99,3.00,平台新人券-3.00,-
"	6925807043881893279","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-23 10:51:27","	2026-04-23 10:51:34",已完成,,-,普通订单,14.99,0.00,-,-
"	6925722591219973329","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-20 11:54:00","	2026-04-20 11:54:04",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,11.99,3.00,余额抵扣金额-3.00,-
"	6925670047165611907","	支付宝",新款宇航员手持泡泡枪网红全自动泡泡机公园摆地摊吹泡泡机-紫宇航员【普通电池+10浓缩液】,"	3808932218294895010",1,13.99,"	2026-04-17 20:58:29","	2026-04-17 20:58:31",已关闭,,新款宇航员手持泡泡枪网红全自动泡泡机公园摆地摊吹泡泡机-退款成功,普通订单,13.99,0.00,-,-
"	6925658980225875615","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-17 17:01:02","	2026-04-17 17:01:41",已完成,,-,普通订单,14.99,0.00,-,-
"	6925635452678274357","	抖音月付",2026新款海豚冲电泡泡机爆款卡通七彩泡泡机创意灯光连发泡泡枪-蓝海豚【冲电电池+10浓缩液】,"	3808930214734594096",1,16.99,"	2026-04-16 19:27:20","	2026-04-16 19:27:24",已完成,,-,普通订单,16.99,0.00,-,-
"	6952084146767599447","	微信",可爱小黄鸭按压式回力车玩具适合的摩托车造型-1只装,"	3795779804494692466",1,3.99,"	2026-04-15 00:36:00","	2026-04-15 00:36:14",已完成,,-,普通订单,0.01,3.98,平台回归礼券-3.98,-
"	6952035262800729094","	抖音月付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-04-13 17:19:31","	2026-04-13 17:19:34",已完成,,-,普通订单,17.99,0.00,-,-
"	6925542797421281144","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-04-12 22:48:58","	2026-04-12 22:49:12",已完成,,-,普通订单,17.99,0.00,-,-
"	6925541942288153636","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-12 17:16:18","	2026-04-12 17:16:26",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,14.99,0.00,-,-
"	6925541449738583444","	抖音月付",新款网红泡泡机吹泡泡手持灯光不漏液不挂泡新款智能-蓝太空人泡泡机【10包泡泡液】,"	3808931702940762455",1,13.99,"	2026-04-12 13:22:49","	2026-04-12 13:22:54",已关闭,,新款网红泡泡机吹泡泡手持灯光不漏液不挂泡新款智能-退款成功,普通订单,13.99,0.00,-,-
"	6925528781678345464","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-04-12 09:36:53","	2026-04-12 09:36:58",已完成,,-,普通订单,15.49,2.00,平台天天抽券-2.00,-
"	6925535131019083000","	微信",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-04-12 09:34:06","	2026-04-12 09:34:12",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,15.49,2.00,平台天天抽券-2.00,-
"	6925500814887255290","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-11 11:29:48","	2026-04-11 11:30:08",已完成,,-,普通订单,14.99,0.00,-,-
"	6925507482353565322","	微信",七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全-30包浓缩液【袋子颜色随机】,"	3795785626331251287",1,8.99,"	2026-04-11 11:01:03","	2026-04-11 11:01:18",已完成,,-,普通订单,8.99,0.00,-,-
"	6951956906972877976","	支付宝",可爱小黄鸭按压式回力车玩具适合的摩托车造型-1只装,"	3795779804494692466",1,3.99,"	2026-04-10 13:29:39",,已关闭,用户超时未支付自动取消,-,普通订单,3.99,0.00,-,-
"	6925489880081792861","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-10 13:02:43","	2026-04-10 13:02:50",已完成,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,14.99,0.00,-,-
"	6925462523314732507","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-09 20:20:37","	2026-04-09 20:20:51",已关闭,,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-退款成功,普通订单,14.99,0.00,-,-
"	6925466278961511837","	抖音支付",网红新款2026泡泡机摆摊吹泡泡玩具电动手持泡泡机不漏液不挂泡-升级【拉管太空人】送10包浓缩液+送电池,"	3808934651494531397",1,14.99,"	2026-04-09 11:19:22","	2026-04-09 11:19:24",已完成,,-,普通订单,14.99,0.00,-,-
"	6925449015215423352","	支付宝",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-绿青蛙宝【送充电电池+1瓶泡泡液+10包浓缩泡泡液】,"	3810938281739289513",1,17.99,"	2026-04-09 08:54:29","	2026-04-09 08:54:42",已完成,,-,普通订单,17.99,0.00,-,-
"	6951914180393374760","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-08 19:51:51","	2026-04-08 19:51:57",已完成,,-,普通订单,14.99,0.00,-,-
"	6951921057616827432","	抖音支付",萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具-粉萌兔宝【送充电电池+1瓶泡泡液】,"	3810938281739289513",1,14.99,"	2026-04-08 19:48:04",,已关闭,你已取消订单：暂时不需要这个商品,-,普通订单,14.41,0.58,平台商家协商补偿券-0.58,-
