结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品名称,商品数量,达人ID,达人名称,业务类型,订单类型,订单总价,商品总价,运费,店铺券,政府补贴商家垫资,结算前退款金额,平台补贴,其他平台补贴,政府补贴平台垫资,达人补贴,抖音支付补贴,抖音月付营销补贴,银行补贴,以旧换新抵扣,平台补贴运费,用户实付,收入合计,平台服务费,达人佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,其他分成说明,支出合计,是否免佣,免佣金额,商户主体名称,备注
" "," "," ",收入+支出," "," "," "," "," "," "," "," "," "," "," ",商品总价+运费," "," ",包括商家发的优惠券、商品直降金额以及与平台混资补贴商家承担的金额,以旧换新商家先行出资，结算后商家拿着对应金额发票与政府进行金额结算。,退给用户的货款+运费+退补贴," ",其他平台补贴包括话费充值平台优惠金额，此部分补贴金额商家无需给平台开票,以旧换新政府出资补商家，跟随货款一同结算给商家，包括以旧换新政府补贴券，商家无需开票。," "," "," "," "," "," "," ",用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴+银行补贴+以旧换新抵扣+平台补贴运费+政府补贴平台垫资+其他平台补贴,"'-(用户实付+平台补贴+达人补贴+平台补贴运费+政府补贴平台垫资+其他平台补贴)*费率
平台按照商品类目费率收取商家的费用","'-(用户实付-运费+平台补贴+达人补贴+平台补贴运费+抖音支付补贴+抖音月付补贴+政府补贴平台垫资+其他平台补贴)*费率
商家支出给达人的佣金",商家使用了服务商服务（例如商家招募与培训、内容制作、抖店开设与运营、达人运营等一站式服务），需要支付给对应服务商的佣金,仅在学浪订单场景下存在的分成，如果订单非学浪订单则不会有这个费用,商家支出给团长的佣金,推广者在抖音APP外进行商品推广，用户因推广者推广进入抖音APP进入小店平台并完成商品购买。商家商品通过精选联盟平台的推广者成交的，每笔订单商家需要向推广者支付一定比例的推广费,除“佣金、渠道分成、招商服务费、站外推广费”等账单中已分列展示之外的分成项目," ",平台服务费+达人佣金+服务商佣金+渠道分成+招商服务费+站外推广费+其他分成,订单是否命中了平台各类平台服务费减免活动，例如商品卡佣金减免等活动,订单结算时按照平台活动规则减免掉的金额，免佣金额不会结算或打款给商家," "," "
2026-05-01 03:29:31,'6952260884150359812,'6952260884150359812,8.54,聚合账户,已结算,否,2026-04-21 18:44:27,'3796349154066825652,七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,8.99,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,8.99,-0.45,0,0,0,0,0,0,,-0.45,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 03:29:31,'6925743698194103497,'6925743698194103497,8.94,聚合账户,已结算,否,2026-04-21 10:13:25,'3796349154066825652,七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全,1,,,小店自卖,普通订单,8.99,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99,8.99,-0.05,0,0,0,0,0,0,,-0.05,是-商品卡免佣,0.37,广州斌立科技有限公司,平台服务费率0.6%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 04:48:52,'6952116942705399366,'6952116942705399366,6.29,聚合账户,已结算,否,2026-04-16 07:11:40,'3796349154066825652,七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,6.99,6.99,0,0,0,0,2,0,0,0,0,0,0,0,0,4.99,6.99,-0.35,-0.35,0,0,0,0,0,,-0.7,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 05:22:19,'6952117042775136079,'6952117042775136079,13.49,聚合账户,已结算,否,2026-04-16 08:22:48,'3811269702848741512,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,14.99,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,14.99,-0.75,-0.75,0,0,0,0,0,,-1.5,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 05:57:07,'6952110219168847750,'6952110219168847750,13.49,聚合账户,已结算,否,2026-04-16 08:06:54,'3811269702848741512,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,14.99,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,14.99,-0.75,-0.75,0,0,0,0,0,,-1.5,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 06:30:08,'6952082189435671675,'6952082189435671675,13.49,聚合账户,已结算,否,2026-04-15 10:04:11,'3811269702848741512,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,14.99,14.99,0,0,0,0,4,0,0,0,0,0,0,0,0,10.99,14.99,-0.75,-0.75,0,0,0,0,0,,-1.5,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 06:37:48,'6925632759656840660,'6925632759656840660,11.69,聚合账户,已结算,否,2026-04-16 08:07:58,'3811269702848741512,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,12.99,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,12.99,-0.65,-0.65,0,0,0,0,0,,-1.3,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 07:06:49,'6925679530737695910,'6925679530737695910,11.69,聚合账户,已结算,否,2026-04-18 08:50:20,'3813569340083667695,兔子熊猫泡泡机新款户外手持多孔泡泡玩具,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,12.99,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,12.99,-0.65,-0.65,0,0,0,0,0,,-1.3,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>其他特色玩具>其他（实物）
2026-05-01 07:11:37,'6952114815434167579,'6952114815434167579,13.49,聚合账户,已结算,否,2026-04-16 08:27:10,'3811269702848741512,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具,1,'1400117048905447,欣晴玩具,精选联盟,普通订单,14.99,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,14.99,-0.75,-0.75,0,0,0,0,0,,-1.5,,0,广州斌立科技有限公司,平台服务费率5%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
2026-05-01 08:02:02,'6952242198934066302,'6952242198934131838,14.9,聚合账户,已结算,否,2026-04-21 10:14:16,'3811269702848741512,萌娃冲电泡泡机网红爆款新款手持多孔吹泡泡玩具泡泡机趣味玩具,1,,,小店自卖,普通订单,17.99,17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,14.99,-0.09,0,0,0,0,0,0,,-0.09,是-商品卡免佣,0.66,广州斌立科技有限公司,平台服务费率0.6%;商品类目: 玩具>户外运动玩具>户外运动装备（实物）
